"","microcosm.id","fraction.nymphs.questing","treatment.met52","treatment.spider","spider.observed","spider.alive.end"
"1",1,0.333333333333333,"0","1","1","1"
"12",2,NA,"1","1","0","1"
"14",3,0.0833333333333333,"0","0","0","0"
"21",4,0.555555555555556,"1","0","0","0"
"26",5,0.714285714285714,"1","0","0","0"
"28",6,1,"0","1","1","1"
"35",7,0.3,"0","0","0","0"
"42",8,0.3,"1","1","0","0"
"45",9,0.5,"1","1","1","0"
"47",10,0.444444444444444,"1","0","0","0"
"56",11,0.333333333333333,"0","1","1","1"
"60",12,0.333333333333333,"0","0","0","0"
"61",13,0.4,"1","1","1","0"
"67",14,0.25,"1","0","0","0"
"72",15,0.571428571428571,"0","0","0","0"
"74",16,1,"0","1","0","0"
"80",17,0.153846153846154,"0","0","0","0"
"86",18,0.875,"1","0","0","0"
"87",19,1,"1","1","0","0"
"94",20,0.625,"0","1","0","1"
"97",21,0.2,"1","0","0","0"
"101",22,0.666666666666667,"1","1","0","0"
"109",23,1,"0","1","0","0"
"112",24,0.125,"0","0","0","0"
"114",25,0.3,"0","0","0","0"
"117",26,0.666666666666667,"1","0","0","0"
"121",27,0.5,"0","1","0","0"
"126",28,0.111111111111111,"1","1","1","0"
"130",29,0.875,"1","1","0","1"
"131",30,0,"1","0","0","0"
"136",31,0.384615384615385,"0","1","1","1"
"141",32,0.615384615384615,"0","0","0","0"
"146",33,1.1,"0","1","0","1"
"152",34,0.714285714285714,"0","0","0","0"
"156",35,0,"1","0","0","0"
"160",36,0,"1","1","0","0"
"164",38,1,"1","0","0","0"
"169",39,0.75,"0","1","0","1"
"173",40,0.166666666666667,"0","0","0","0"
"175",41,0.6,"0","0","0","0"
"180",42,0,"1","1","1","1"
"183",43,0,"1","0","0","0"
"187",44,0.625,"0","1","1","1"
"193",45,0.5,"0","1","1","1"
"199",47,0,"1","0","0","0"
"203",48,0.4,"0","0","0","0"
"208",49,0,"0","1","1","1"
"212",51,0,"1","0","0","0"
"213",52,1,"0","0","0","0"
"217",54,0.272727272727273,"0","0","0","0"
"219",55,0.125,"1","0","0","0"
"225",56,0.666666666666667,"0","1","0","0"
"227",57,NA,"0","1","0","0"
"233",58,0.8,"1","0","0","0"
"235",59,0.833333333333333,"0","0","0","0"
"238",60,0.5,"1","1","0","1"
"240",61,1,"1","0","0","0"
"243",63,0.333333333333333,"0","0","0","0"
"247",64,0,"0","1","0","0"
"251",67,0.625,"0","1","1","1"
"256",68,0.375,"0","0","0","0"
"262",69,0.333333333333333,"0","1","1","1"
"264",70,0.571428571428571,"1","0","0","0"
"267",71,0.571428571428571,"0","0","0","0"
"273",73,0,"0","1","1","1"
"274",75,0.4,"0","0","0","0"
"278",76,0,"1","0","0","0"
"281",77,0,"0","1","1","1"
"286",78,NA,"1","0","0","0"
"291",79,NA,"1","0","0","0"
"293",80,0.444444444444444,"0","0","0","0"
"295",81,1.5,"1","1","0","0"
"299",82,0,"1","1","0","0"
"302",83,0,"1","1","0","0"
"303",84,2,"1","1","0","1"
"306",85,0.333333333333333,"1","1","0","0"
"309",86,0.333333333333333,"1","1","0","0"
"313",87,0,"1","1","0","0"
"315",88,0,"1","1","1","1"
"318",89,0.142857142857143,"1","0","0","0"
"321",90,0,"1","0","0","0"
"324",91,0.25,"1","1","0","0"
"326",92,0.5,"1","0","0","0"
"329",93,0.666666666666667,"1","0","0","0"
"331",94,2,"1","1","0","0"
"334",95,0.5,"1","1","0","0"
"337",96,NA,"1","1","0","0"
"338",98,0.4,"0","0","0","0"
