"microcosm.id","treatment.met52","treatment.spider","fraction.flat.nymphs.recovered","fraction.engorged.nymphs.recovered","spider.alive.end","spider.reproductive.status.begin"
1,"0","1",0.4,0,"1","1"
2,"1","1",0,0,"1","0"
3,"0","0",0.8,0.5,"0","-1"
4,"1","0",0.6,0,"0","-1"
5,"1","0",0.466666666666667,0,"0","-1"
6,"0","1",0.2,0,"1","1"
7,"0","0",0.666666666666667,0,"0","-1"
8,"1","1",0.666666666666667,0.5,"0","1"
9,"1","1",0.4,0,"0","0"
10,"1","0",0.6,0,"0","-1"
11,"0","1",0.6,0,"1","1"
12,"0","0",0.6,0,"0","-1"
13,"1","1",0.666666666666667,0.5,"0","0"
14,"1","0",0.533333333333333,0,"0","-1"
15,"0","0",0.466666666666667,0,"0","-1"
16,"0","1",0.2,0,"0","0"
17,"0","0",0.866666666666667,0,"0","-1"
18,"1","0",0.571428571428571,0.5,"0","-1"
19,"1","1",0.0666666666666667,0,"0","0"
20,"0","1",0.533333333333333,0.5,"1","1"
21,"1","0",0.666666666666667,0.5,"0","-1"
22,"1","1",0.2,0,"0","0"
23,"0","1",0.333333333333333,0,"0","0"
24,"0","0",0.533333333333333,0.5,"0","-1"
25,"0","0",0.666666666666667,0,"0","-1"
26,"1","0",0.2,0.5,"0","-1"
27,"0","1",0.666666666666667,0,"0","1"
28,"1","1",0.6,0.5,"0","0"
29,"1","1",0.533333333333333,0.5,"1","1"
30,"1","0",0.2,0,"0","-1"
31,"0","1",0.928571428571429,0,"1","1"
32,"0","0",0.866666666666667,0,"0","-1"
33,"0","1",0.666666666666667,0,"1","0"
34,"0","0",0.466666666666667,0.5,"0","-1"
35,"1","0",0.133333333333333,0,"0","-1"
38,"1","0",0.0666666666666667,0,"0","-1"
39,"0","1",0.8,0,"1","0"
40,"0","0",0.4,0,"0","-1"
41,"0","0",0.666666666666667,0.5,"0","-1"
42,"1","1",0.0666666666666667,0,"1","1"
44,"0","1",0.533333333333333,0,"1","1"
45,"0","1",0.533333333333333,0,"1","1"
48,"0","0",0.666666666666667,0.5,"0","-1"
49,"0","1",0.333333333333333,0,"1","1"
51,"1","0",0.133333333333333,1,"0","-1"
52,"0","0",0.533333333333333,NA,"0","-1"
54,"0","0",0.733333333333333,0,"0","-1"
56,"0","1",0.4,0,"0","0"
57,"0","1",0,0,"0","0"
58,"1","0",0.333333333333333,0,"0","-1"
59,"0","0",0.8,0,"0","-1"
61,"1","0",0.2,0,"0","-1"
63,"0","0",0.6,0.5,"0","-1"
64,"0","1",0.0666666666666667,0,"0","0"
67,"0","1",0.533333333333333,0,"1","1"
68,"0","0",0.533333333333333,0.5,"0","-1"
69,"0","1",0.8,1,"1","1"
70,"1","0",0.466666666666667,1.5,"0","-1"
71,"0","0",0.4375,0.5,"0","-1"
73,"0","1",0.0666666666666667,0,"1","1"
75,"0","0",0.333333333333333,0,"0","-1"
77,"0","1",0.266666666666667,1,"1","0"
80,"0","0",0.6,0,"0","-1"
81,"1","1",0.133333333333333,0,"0","0"
82,"1","1",0.0666666666666667,0,"0","0"
83,"1","1",0.466666666666667,0.5,"0","0"
84,"1","1",0.0666666666666667,1,"1","0"
85,"1","1",0.2,0,"0","1"
86,"1","1",0.2,0,"0","1"
87,"1","1",0.0666666666666667,0,"0","1"
88,"1","1",0.0666666666666667,0,"1","1"
89,"1","0",0.466666666666667,0,"0","-1"
90,"1","0",0.2,0,"0","-1"
91,"1","1",0.533333333333333,0,"0","1"
92,"1","0",0.133333333333333,0,"0","-1"
93,"1","0",0.4,0,"0","-1"
94,"1","1",0.0666666666666667,0,"0","1"
95,"1","1",0.4,0,"0","1"
96,"1","1",0.266666666666667,0.5,"0","1"
98,"0","0",0.333333333333333,0.5,"0","0"
36,"1","1",0.2,0.5,"0","0"
60,"1","1",0.133333333333333,0.5,"1","1"
43,"1","0",0.0666666666666667,0,"0","-1"
47,"1","0",0.266666666666667,1,"0","-1"
55,"1","0",0.533333333333333,0,"0","-1"
76,"1","0",0.0666666666666667,0,"0","-1"
78,"1","0",0,0.5,"0","-1"
79,"1","0",0,0,"0","-1"
